Title,First Name,Last Name,Side,Email,Phone,Dietary,Notes
Ms.,Roksana,Akter,BRIDE,roksana.a@email.com,+8801811100033,,Bride's school friend
Ms.,Shanta,Biswas,BRIDE,shanta.b@email.com,+8801911100034,Vegetarian,Bride's colleague
Mrs.,Feroza,Begum,BRIDE,feroza.b@email.com,+8801511100035,Halal,Bride's grandmother's sister
Ms.,Shayla,Islam,BRIDE,shayla.i@email.com,+8801611100036,,Bride's friend
Ms.,Antara,Ahmed,BRIDE,antara.a@email.com,+8801711100037,Gluten-free,Bride's university friend
Dr.,Sabina,Yasmin,BRIDE,sabina.dr@email.com,+8801811100038,,Bride's doctor friend
Mrs.,Morsheda,Khanam,BRIDE,morsheda.k@email.com,+8801911100039,Halal,Bride's aunt
Ms.,Nipa,Rahman,BRIDE,nipa.r@email.com,+8801511100040,,Bride's cousin
Ms.,Sanjida,Hossain,BRIDE,sanjida.h@email.com,+8801611100041,Vegetarian,Bride's friend
Ms.,Trisha,Paul,BRIDE,trisha.p@email.com,+8801711100042,,Bride's schoolmate
Mrs.,Mahmuda,Begum,BRIDE,mahmuda.b@email.com,+8801811100043,Halal,Bride's relative
Ms.,Ritu,Akter,BRIDE,ritu.a@email.com,+8801911100044,,Bride's colleague
Ms.,Momo,Islam,BRIDE,momo.i@email.com,+8801511100045,Halal,Bride's friend
Ms.,Fariha,Khan,BRIDE,fariha.k@email.com,+8801611100046,Gluten-free,Bride's neighbor
Mrs.,Rabeya,Sultana,BRIDE,rabeya.s@email.com,+8801711100047,,Bride's aunt
Ms.,Trishna,Roy,BRIDE,trishna.r@email.com,+8801811100048,Vegetarian,Bride's friend
Ms.,Mahfuza,Akter,BRIDE,mahfuza.a@email.com,+8801911100049,,Bride's university friend
Ms.,Shimu,Begum,BRIDE,shimu.b@email.com,+8801511100050,Halal,Bride's relative
Ms.,Jannatul,Ferdous,BRIDE,jannatul.f@email.com,+8801611100051,,Bride's friend
Mrs.,Kohinoor,Begum,BRIDE,kohinoor.b@email.com,+8801711100052,Halal,Bride's grandmother's friend
Ms.,Mithila,Haque,BRIDE,mithila.h@email.com,+8801811100053,Vegetarian,Bride's colleague
Ms.,Sonia,Akter,BRIDE,sonia.a@email.com,+8801911100054,,Bride's schoolmate
Dr.,Tasneem,Ara,BRIDE,tasneem.dr@email.com,+8801511100055,Gluten-free,Bride's family friend
Ms.,Ratna,Biswas,BRIDE,ratna.b@email.com,+8801611100056,,Bride's cousin
Mrs.,Nurun,Nahar,BRIDE,nurun.n@email.com,+8801711100057,Halal,Bride's relative
Ms.,Toma,Akter,BRIDE,toma.a@email.com,+8801811100058,,Bride's friend
Ms.,Laboni,Islam,BRIDE,laboni.i@email.com,+8801911100059,Vegetarian,Bride's university friend
Ms.,Reshma,Khatun,BRIDE,reshma.k@email.com,+8801511100060,,Bride's neighbor
Ms.,Nafisa,Ahmed,BRIDE,nafisa.a@email.com,+8801611100061,Halal,Bride's friend
Mrs.,Salma,Khatun,BRIDE,salma.k@email.com,+8801711100062,,Bride's aunt
Ms.,Keya,Akter,BRIDE,keya.a@email.com,+8801811100063,Gluten-free,Bride's colleague
Ms.,Jui,Hossain,BRIDE,jui.h@email.com,+8801911100064,,Bride's schoolmate
Dr.,Nazmun,Naher,BRIDE,nazmun.dr@email.com,+8801511100065,Halal,Bride's doctor friend
Ms.,Mukta,Rahman,BRIDE,mukta.r@email.com,+8801611100066,Vegetarian,Bride's friend
Mrs.,Rozina,Begum,BRIDE,rozina.b@email.com,+8801711100067,,Bride's relative
Ms.,Sabita,Das,BRIDE,sabita.d@email.com,+8801811100068,Halal,Bride's neighbor
Ms.,Shefali,Mondol,BRIDE,shefali.m@email.com,+8801911100069,,Bride's friend
Ms.,Parveen,Sultana,BRIDE,parveen.s@email.com,+8801511100070,Vegetarian,Bride's cousin
Mrs.,Hamida,Begum,BRIDE,hamida.b@email.com,+8801611100071,Halal,Bride's grandmother
Ms.,Farzana,Islam,BRIDE,farzana.i@email.com,+8801711100072,,Bride's friend
Ms.,Nishita,Roy,BRIDE,nishita.r@email.com,+8801811100073,Gluten-free,Bride's university friend
Ms.,Shamima,Akter,BRIDE,shamima.a@email.com,+8801911100074,,Bride's schoolmate
Mrs.,Rahela,Khatun,BRIDE,rahela.k@email.com,+8801511100075,Halal,Bride's aunt
Ms.,Suriya,Ahmed,BRIDE,suriya.a@email.com,+8801611100076,Vegetarian,Bride's colleague
Ms.,Dilruba,Begum,BRIDE,dilruba.b@email.com,+8801711100077,,Bride's friend
Dr.,Sumaita,Hossain,BRIDE,sumaita.dr@email.com,+8801811100078,Halal,Bride's doctor friend
Ms.,Kamrun,Nahar,BRIDE,kamrun.n@email.com,+8801911100079,,Bride's relative
Mrs.,Khurshida,Khanam,BRIDE,khurshida.k@email.com,+8801511100080,Halal,Bride's aunt
Ms.,Moly,Akter,BRIDE,moly.a@email.com,+8801611100081,Vegetarian,Bride's friend
Ms.,Rimi,Islam,BRIDE,rimi.i@email.com,+8801711100082,,Bride's neighbor
Ms.,Tabassum,Haque,BRIDE,tabassum.h@email.com,+8801811100083,Gluten-free,Bride's university friend
Mrs.,Selina,Begum,BRIDE,selina.b@email.com,+8801911100084,,Bride's relative
Ms.,Nasima,Akter,BRIDE,nasima.a@email.com,+8801511100085,Halal,Bride's cousin
Ms.,Lata,Saha,BRIDE,lata.saha@email.com,+8801611100086,,Bride's schoolmate
Dr.,Munira,Sultana,BRIDE,munira.dr@email.com,+8801711100087,Vegetarian,Bride's friend
Mrs.,Shamsun,Nahar,BRIDE,shamsun.n@email.com,+8801811100088,Halal,Bride's grandmother's sister
Ms.,Reba,Mondol,BRIDE,reba.m@email.com,+8801911100089,,Bride's colleague
Ms.,Soma,Khatun,BRIDE,soma.k@email.com,+8801511100090,Halal,Bride's friend
Ms.,Borna,Islam,BRIDE,borna.i@email.com,+8801611100091,,Bride's university friend
Mrs.,Farida,Begum,BRIDE,farida.b@email.com,+8801711100092,Vegetarian,Bride's aunt
Ms.,Roshni,Ahmed,BRIDE,roshni.a@email.com,+8801811100093,,Bride's neighbor
Ms.,Nargis,Akter,BRIDE,nargis.a@email.com,+8801911100094,Gluten-free,Bride's friend
Ms.,Tanzia,Rahman,BRIDE,tanzia.r@email.com,+8801511100095,,Bride's schoolmate
Mrs.,Momtaz,Khatun,BRIDE,momtaz.k@email.com,+8801611100096,Halal,Bride's relative
Ms.,Asha,Dey,BRIDE,asha.dey@email.com,+8801711100097,Vegetarian,Bride's friend
Ms.,Shawon,Hossain,BRIDE,shawon.h@email.com,+8801811100098,,Bride's colleague
Ms.,Kona,Biswas,BRIDE,kona.b@email.com,+8801911100099,,Bride's friend
Ms.,Afsana,Mimi,BRIDE,afsana.m@email.com,+8801511100100,,Bride's childhood best friend
Mr.,Rafiqul,Islam,GROOM,rafiqul.i@email.com,+8801711200001,Halal,Groom's father
Mrs.,Moriam,Islam,GROOM,moriam.i@email.com,+8801711200002,Halal,Groom's mother
Mr.,Sabbir,Hossain,GROOM,sabbir.h@email.com,+8801811200003,,Best man
Mr.,Tanvir,Ahmed,GROOM,tanvir.a@email.com,+8801911200004,,Groom's childhood friend
Dr.,Imran,Chowdhury,GROOM,imran.dr@email.com,+8801511200005,Halal,Groom's uncle
Mr.,Rakib,Khan,GROOM,rakib.k@email.com,+8801611200006,Gluten-free,Groom's cousin
Mr.,Farhan,Malik,GROOM,farhan.m@email.com,+8801711200007,,Groom's university friend
Mr.,Sajid,Mia,GROOM,sajid.m@email.com,+8801811200008,Vegetarian,Groom's colleague
Mr.,Arif,Uddin,GROOM,arif.u@email.com,+8801911200009,,Groom's brother
Mr.,Kamal,Hossain,GROOM,kamal.h@email.com,+8801511200010,Halal,Groom's uncle
Mr.,Rashed,Ahmed,GROOM,rashed.a@email.com,+8801611200011,,Groomsman
Mr.,Nahid,Islam,GROOM,nahid.i@email.com,+8801711200012,,Groom's school friend
Mr.,Toufiq,Rahman,GROOM,toufiq.r@email.com,+8801811200013,Halal,Groom's relative
Mr.,Shahriar,Khan,GROOM,shahriar.k@email.com,+8801911200014,,Groom's university friend
Dr.,Zahidul,Alam,GROOM,zahidul.dr@email.com,+8801511200015,Halal,Groom's doctor friend
Mr.,Minhaj,Hossain,GROOM,minhaj.h@email.com,+8801611200016,Vegetarian,Groom's colleague
Mr.,Rasel,Mahmud,GROOM,rasel.m@email.com,+8801711200017,,Groom's childhood friend
Mr.,Shamim,Akter,GROOM,shamim.a@email.com,+8801811200018,Gluten-free,Groom's cousin
Mr.,Jamal,Uddin,GROOM,jamal.u@email.com,+8801911200019,,Groom's neighbor
Mr.,Nayeem,Islam,GROOM,nayeem.i@email.com,+8801511200020,Halal,Groom's friend
Mr.,Rubel,Hossain,GROOM,rubel.h@email.com,+8801611200021,,Groom's school friend
Mr.,Mizan,Rahman,GROOM,mizan.r@email.com,+8801711200022,Halal,Groom's relative
Mr.,Shahin,Ahmed,GROOM,shahin.a@email.com,+8801811200023,,Groom's university junior
Mr.,Belal,Khan,GROOM,belal.k@email.com,+8801911200024,Vegetarian,Groom's colleague
Mr.,Arman,Islam,GROOM,arman.i@email.com,+8801511200025,,Groom's friend
Dr.,Masud,Rana,GROOM,masud.dr@email.com,+8801611200026,Halal,Groom's doctor friend
Mr.,Ripon,Mia,GROOM,ripon.m@email.com,+8801711200027,,Groom's neighbor
Mr.,Sumon,Biswas,GROOM,sumon.b@email.com,+8801811200028,Gluten-free,Groom's cousin
Mr.,Shakil,Hossain,GROOM,shakil.h@email.com,+8801911200029,,Groom's university friend
Mr.,Alim,Uddin,GROOM,alim.u@email.com,+8801511200030,Halal,Groom's relative
Mr.,Polash,Roy,GROOM,polash.r@email.com,+8801611200031,,Groomsman
Mr.,Dipu,Das,GROOM,dipu.d@email.com,+8801711200032,Vegetarian,Groom's schoolmate
Mr.,Emon,Ahmed,GROOM,emon.a@email.com,+8801811200033,,Groom's childhood friend
Mr.,Tuhin,Islam,GROOM,tuhin.i@email.com,+8801911200034,Halal,Groom's friend
Mr.,Sagor,Hossain,GROOM,sagor.h@email.com,+8801511200035,,Groom's cousin
Mr.,Limon,Khan,GROOM,limon.k@email.com,+8801611200036,Gluten-free,Groom's university friend
Mr.,Parvez,Rahman,GROOM,parvez.r@email.com,+8801711200037,,Groom's colleague
Dr.,Shafiqul,Islam,GROOM,shafiqul.dr@email.com,+8801811200038,Halal,Groom's family doctor friend
Mr.,Kamrul,Hasan,GROOM,kamrul.h@email.com,+8801911200039,,Groom's school friend
Mr.,Badrul,Alam,GROOM,badrul.a@email.com,+8801511200040,Vegetarian,Groom's relative
Mr.,Maruf,Hossain,GROOM,maruf.h@email.com,+8801611200041,,Groom's friend
Mr.,Asif,Ahmed,GROOM,asif.a@email.com,+8801711200042,Halal,Groom's university friend
Mr.,Sohag,Islam,GROOM,sohag.i@email.com,+8801811200043,,Groom's neighbor
Mr.,Nihal,Khan,GROOM,nihal.k@email.com,+8801911200044,Gluten-free,Groom's cousin
Mr.,Roni,Begum,GROOM,roni.b@email.com,+8801511200045,,Groom's schoolmate
Mr.,Hasan,Mahmud,GROOM,hasan.m@email.com,+8801611200046,Halal,Groom's colleague
Mr.,Anwar,Hossain,GROOM,anwar.h@email.com,+8801711200047,,Groom's friend
Mr.,Zahir,Uddin,GROOM,zahir.u@email.com,+8801811200048,Vegetarian,Groom's uncle
Mr.,Fuad,Islam,GROOM,fuad.i@email.com,+8801911200049,,Groom's university friend
Mr.,Nazim,Ahmed,GROOM,nazim.a@email.com,+8801511200050,Halal,Groom's relative
Mr.,Mahbub,Rahman,GROOM,mahbub.r@email.com,+8801611200051,,Groom's childhood friend
Mr.,Tarek,Hossain,GROOM,tarek.h@email.com,+8801711200052,Gluten-free,Groom's colleague
Mr.,Siam,Khan,GROOM,siam.k@email.com,+8801811200053,,Groom's friend
Dr.,Nazmul,Islam,GROOM,nazmul.dr@email.com,+8801911200054,Halal,Groom's doctor friend
Mr.,Robin,Das,GROOM,robin.d@email.com,+8801511200055,Vegetarian,Groom's schoolmate
Mr.,Jewel,Hossain,GROOM,jewel.h@email.com,+8801611200056,,Groom's cousin
Mr.,Rezwan,Ahmed,GROOM,rezwan.a@email.com,+8801711200057,,Groom's university friend
Mr.,Khokon,Islam,GROOM,khokon.i@email.com,+8801811200058,Halal,Groom's relative
Mr.,Babu,Mia,GROOM,babu.m@email.com,+8801911200059,,Groom's neighbor
Mr.,Delwar,Hossain,GROOM,delwar.h@email.com,+8801511200060,Halal,Groom's uncle
Mr.,Masud,Khan,GROOM,masudk.k@email.com,+8801611200061,,Groom's school friend
Mr.,Shawon,Rahman,GROOM,shawon.r@email.com,+8801711200062,Vegetarian,Groom's friend
Mr.,Riaz,Uddin,GROOM,riaz.u@email.com,+8801811200063,,Groom's colleague
Mr.,Faruk,Islam,GROOM,faruk.i@email.com,+8801911200064,Gluten-free,Groom's cousin
Mr.,Sazzad,Hossain,GROOM,sazzad.h@email.com,+8801511200065,,Groom's university friend
Dr.,Bulbul,Ahmed,GROOM,bulbul.dr@email.com,+8801611200066,Halal,Groom's family friend
Mr.,Billal,Khan,GROOM,billal.k@email.com,+8801711200067,,Groom's schoolmate
Mr.,Sujan,Islam,GROOM,sujan.i@email.com,+8801811200068,Vegetarian,Groom's relative
Mr.,Nahian,Rahman,GROOM,nahian.r@email.com,+8801911200069,,Groom's friend
Mr.,Opu,Hossain,GROOM,opu.h@email.com,+8801511200070,Halal,Groom's childhood friend
Mr.,Tomal,Ahmed,GROOM,tomal.a@email.com,+8801611200071,,Groom's colleague
Mr.,Nayon,Islam,GROOM,nayon.i@email.com,+8801711200072,Gluten-free,Groom's cousin
Mr.,Shuvo,Khan,GROOM,shuvo.k@email.com,+8801811200073,,Groom's university friend
Mr.,Tushar,Mia,GROOM,tushar.m@email.com,+8801911200074,Halal,Groom's relative
Mr.,Shimul,Hossain,GROOM,shimul.h@email.com,+8801511200075,,Groom's school friend
Mr.,Pavel,Rahman,GROOM,pavel.r@email.com,+8801611200076,Vegetarian,Groom's friend
Mr.,Raju,Islam,GROOM,raju.i@email.com,+8801711200077,,Groom's neighbor
Dr.,Kawsar,Ahmed,GROOM,kawsar.dr@email.com,+8801811200078,Halal,Groom's doctor friend
Mr.,Noman,Khan,GROOM,noman.k@email.com,+8801911200079,,Groom's colleague
Mr.,Shapon,Uddin,GROOM,shapon.u@email.com,+8801511200080,Gluten-free,Groom's cousin
Mr.,Jahangir,Islam,GROOM,jahangir.i@email.com,+8801611200081,,Groom's relative
Mr.,Shakib,Hossain,GROOM,shakib.h@email.com,+8801711200082,Halal,Groom's university friend
Mr.,Rafat,Ahmed,GROOM,rafat.a@email.com,+8801811200083,,Groom's schoolmate
Mr.,Redwan,Khan,GROOM,redwan.k@email.com,+8801911200084,Vegetarian,Groom's friend
Mr.,Mahin,Islam,GROOM,mahin.i@email.com,+8801511200085,,Groom's childhood friend
Mr.,Saiful,Rahman,GROOM,saiful.r@email.com,+8801611200086,Halal,Groom's colleague
Mr.,Yeamin,Hossain,GROOM,yeamin.h@email.com,+8801711200087,,Groom's cousin
Mr.,Arafat,Mia,GROOM,arafat.m@email.com,+8801811200088,Gluten-free,Groom's school friend
Mr.,Enam,Uddin,GROOM,enam.u@email.com,+8801911200089,,Groom's relative
Mr.,Zobayer,Islam,GROOM,zobayer.i@email.com,+8801511200090,Halal,Groom's university friend
Mr.,Tanmoy,Ahmed,GROOM,tanmoy.a@email.com,+8801611200091,,Groom's friend
Mr.,Rajib,Khan,GROOM,rajib.k@email.com,+8801711200092,Vegetarian,Groom's neighbor
Mr.,Nuruzzaman,Islam,GROOM,nuru.i@email.com,+8801811200093,,Groom's uncle
Mr.,Iftekar,Hossain,GROOM,iftekar.h@email.com,+8801911200094,Halal,Groom's friend
Mr.,Shafin,Rahman,GROOM,shafin.r@email.com,+8801511200095,,Groom's colleague
Mr.,Labib,Ahmed,GROOM,labib.a@email.com,+8801611200096,Gluten-free,Groom's university friend
Mr.,Nafiz,Khan,GROOM,nafiz.k@email.com,+8801711200097,,Groom's schoolmate
Mr.,Rayhan,Islam,GROOM,rayhan.i@email.com,+8801811200098,Halal,Groom's cousin
Mr.,Zubair,Hossain,GROOM,zubair.h@email.com,+8801911200099,,Groom's relative
Mr.,Mehedi,Hassan,GROOM,mehedi.h@email.com,+8801511200100,,Groom's childhood best friend
